source_file,card_id,card_name,status,output_path,source_cdb
c1003028.lua,1003028,Doggy Diver,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Doggy_Diver.lua,cards.cdb
c10032958.lua,10032958,Divine Dragon - Excelion,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Divine_Dragon_-_Excelion.lua,cards.cdb
c10035717.lua,10035717,Weapon Change,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Weapon_Change.lua,cards.cdb
c1003840.lua,1003840,Starlight Junktion,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Starlight_Junktion.lua,cards.cdb
c10040267.lua,10040267,Fossil Machine Skull Buggy,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Fossil_Machine_Skull_Buggy.lua,cards.cdb
c10045474.lua,10045474,Infinite Impermanence,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Infinite_Impermanence.lua,cards.cdb
c1005587.lua,1005587,Void Trap Hole,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Void_Trap_Hole.lua,cards.cdb
c10060427.lua,10060427,Koa'ki Meiru Rooklord,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Koa'ki_Meiru_Rooklord.lua,cards.cdb
c1006081.lua,1006081,Junk Changer,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Junk_Changer.lua,cards.cdb
c10065487.lua,10065487,Branded Loss,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Branded_Loss.lua,cards.cdb
c10069180.lua,10069180,Spell-Stopping Statute,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Spell-Stopping_Statute.lua,cards.cdb
c10071151.lua,10071151,"Lyla, Twilightsworn Enchantress",written,"C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Lyla,_Twilightsworn_Enchantress.lua",cards.cdb
c10080320.lua,10080320,Jurassic World,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Jurassic_World.lua,cards.cdb
c10097168.lua,10097168,Tiger Dragon,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Tiger_Dragon.lua,cards.cdb
c10110717.lua,10110717,Mecha Bunny,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Mecha_Bunny.lua,cards.cdb
c10113611.lua,10113611,Wattuna,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Wattuna.lua,cards.cdb
c10117149.lua,10117149,Deskbot 005,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Deskbot_005.lua,cards.cdb
c10118318.lua,10118318,Reinforce Truth,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Reinforce_Truth.lua,cards.cdb
c10125011.lua,10125011,Constellar Tellarknights,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Constellar_Tellarknights.lua,cards.cdb
c101305081.lua,101305081,Witness of the Ancient,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Witness_of_the_Ancient.lua,test-release.cdb
c101305082.lua,101305082,Distrust Paranoia,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Distrust_Paranoia.lua,test-release.cdb
c101305083.lua,101305083,Yomagna the Fire Phantom,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Yomagna_the_Fire_Phantom.lua,test-release.cdb
c101305084.lua,101305084,Thundercrash Snarecrow,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Thundercrash_Snarecrow.lua,test-release.cdb
c101305085.lua,101305085,Mixousia the Confounder,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Mixousia_the_Confounder.lua,test-release.cdb
c101305086.lua,101305086,Shamanite Shamanknight,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Shamanite_Shamanknight.lua,test-release.cdb
c101305087.lua,101305087,"Cerynemesia, Mystical Beast of the Forest",written,"C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Cerynemesia,_Mystical_Beast_of_the_Forest.lua",test-release.cdb
c101305088.lua,101305088,Imposter Shift,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Imposter_Shift.lua,test-release.cdb
c101305089.lua,101305089,Mortilux Heruvur,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Mortilux_Heruvur.lua,test-release.cdb
c101305090.lua,101305090,Angelechy Shatranga,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Angelechy_Shatranga.lua,test-release.cdb
c101305091.lua,101305091,Angelechy Bastion,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Angelechy_Bastion.lua,test-release.cdb
c101305092.lua,101305092,Angelechy Destrier,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Angelechy_Destrier.lua,test-release.cdb
c101305093.lua,101305093,Angelechy Enlisted,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Angelechy_Enlisted.lua,test-release.cdb
c101305094.lua,101305094,Angelechy Problem,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Angelechy_Problem.lua,test-release.cdb
c101305095.lua,101305095,Angelechy Disturbance,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Angelechy_Disturbance.lua,test-release.cdb
c101305096.lua,101305096,Angelechy Opening to e4,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Angelechy_Opening_to_e4.lua,test-release.cdb
c101306001.lua,101306001,Swiftwind Panther Warrior,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Swiftwind_Panther_Warrior.lua,test-release.cdb
c101306002.lua,101306002,Alligator's Dragon Knight,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Alligator's_Dragon_Knight.lua,test-release.cdb
c101306003.lua,101306003,Jinzo - Energy Shocker,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Jinzo_-_Energy_Shocker.lua,test-release.cdb
c101306004.lua,101306004,Fisherman of Legend,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Fisherman_of_Legend.lua,test-release.cdb
c101306005.lua,101306005,Shining Umbral Horror,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Shining_Umbral_Horror.lua,test-release.cdb
c101306006.lua,101306006,V Umbral Horror,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\V_Umbral_Horror.lua,test-release.cdb
c101306007.lua,101306007,Gorgonic Umbral Horror,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Gorgonic_Umbral_Horror.lua,test-release.cdb
c101306008.lua,101306008,Thousand Umbral Horror,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Thousand_Umbral_Horror.lua,test-release.cdb
c101306009.lua,101306009,Akasuna the Battle Ashtra,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Akasuna_the_Battle_Ashtra.lua,test-release.cdb
c101306010.lua,101306010,Kuzuha the Bewitching Deity Ashtra,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Kuzuha_the_Bewitching_Deity_Ashtra.lua,test-release.cdb
c101306011.lua,101306011,Yoa the Plague Deity Ashtra,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Yoa_the_Plague_Deity_Ashtra.lua,test-release.cdb
c101306012.lua,101306012,Mikumari the Sealing Deity Ashtra,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Mikumari_the_Sealing_Deity_Ashtra.lua,test-release.cdb
c101306013.lua,101306013,Leviathan of Atlantis - Daedalus,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Leviathan_of_Atlantis_-_Daedalus.lua,test-release.cdb
c101306014.lua,101306014,General of Atlantis,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\General_of_Atlantis.lua,test-release.cdb
c101306015.lua,101306015,Monstrous Arms of Atlantis,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Monstrous_Arms_of_Atlantis.lua,test-release.cdb
c101306016.lua,101306016,Fiendish Vortex of Atlantis,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Fiendish_Vortex_of_Atlantis.lua,test-release.cdb
c101306017.lua,101306017,Theorealize Medius,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Theorealize_Medius.lua,test-release.cdb
c101306018.lua,101306018,Ars Magna of Infinity and Finity,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ars_Magna_of_Infinity_and_Finity.lua,test-release.cdb
c101306019.lua,101306019,Ars Magna of Purification and Corruption,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ars_Magna_of_Purification_and_Corruption.lua,test-release.cdb
c101306020.lua,101306020,Ars Magna of Unification and Separation,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ars_Magna_of_Unification_and_Separation.lua,test-release.cdb
c101306021.lua,101306021,Destiny HERO - Destro-Dogma,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Destiny_HERO_-_Destro-Dogma.lua,test-release.cdb
c101306022.lua,101306022,Destiny HERO - Doom Overlord,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Destiny_HERO_-_Doom_Overlord.lua,test-release.cdb
c101306023.lua,101306023,Destiny HERO - Dreadnought Servant,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Destiny_HERO_-_Dreadnought_Servant.lua,test-release.cdb
c101306024.lua,101306024,Adamancipator Conductor,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Adamancipator_Conductor.lua,test-release.cdb
c101306025.lua,101306025,Adamancipator Crystal - Tiamite,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Adamancipator_Crystal_-_Tiamite.lua,test-release.cdb
c101306026.lua,101306026,Black Skull Dragon the Archfiend Dragon of Unity,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Black_Skull_Dragon_the_Archfiend_Dragon_of_Unity.lua,test-release.cdb
c101306027.lua,101306027,The World's Greatest Gallant Thief,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\The_World's_Greatest_Gallant_Thief.lua,test-release.cdb
c101306028.lua,101306028,Elemental Saga Doriado,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Elemental_Saga_Doriado.lua,test-release.cdb
c101306029.lua,101306029,Coralianektes the Shimmering Shining Dragon,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Coralianektes_the_Shimmering_Shining_Dragon.lua,test-release.cdb
c101306030.lua,101306030,Hublot the Dark Directory of Death,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Hublot_the_Dark_Directory_of_Death.lua,test-release.cdb
c101306031.lua,101306031,Misstic Call,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Misstic_Call.lua,test-release.cdb
c101306032.lua,101306032,Father Grizzly,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Father_Grizzly.lua,test-release.cdb
c101306033.lua,101306033,Garbage Golem,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Garbage_Golem.lua,test-release.cdb
c101306034.lua,101306034,Cartoon Shade,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Cartoon_Shade.lua,test-release.cdb
c101306035.lua,101306035,Myriaday Dragon,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Myriaday_Dragon.lua,test-release.cdb
c101306036.lua,101306036,Red-Eyes Black Dragon Exceed,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Red-Eyes_Black_Dragon_Exceed.lua,test-release.cdb
c101306037.lua,101306037,Destiny HERO - Dreadnought Master,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Destiny_HERO_-_Dreadnought_Master.lua,test-release.cdb
c101306038.lua,101306038,Invoked Dee Anima,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Invoked_Dee_Anima.lua,test-release.cdb
c101306039.lua,101306039,Ashtraja Susanoo,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ashtraja_Susanoo.lua,test-release.cdb
c101306040.lua,101306040,Ashtraya Mikumari-no-Mikoto,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ashtraya_Mikumari-no-Mikoto.lua,test-release.cdb
c101306041.lua,101306041,Adamancipator Risen - Tiamite,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Adamancipator_Risen_-_Tiamite.lua,test-release.cdb
c101306042.lua,101306042,Number 104: Masquerade Vain,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Number_104_Masquerade_Vain.lua,test-release.cdb
c101306043.lua,101306043,Number C104: Umbral Horror Masquerade Victory,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Number_C104_Umbral_Horror_Masquerade_Victory.lua,test-release.cdb
c101306044.lua,101306044,CXyz Chaos Barian Hope Dragon,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\CXyz_Chaos_Barian_Hope_Dragon.lua,test-release.cdb
c101306045.lua,101306045,Swickelavee the Brilliantly Crowned Heavy Cavalry,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Swickelavee_the_Brilliantly_Crowned_Heavy_Cavalry.lua,test-release.cdb
c101306046.lua,101306046,Azure Ocean Dragon Lord - Neo-Daedalus Rage,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Azure_Ocean_Dragon_Lord_-_Neo-Daedalus_Rage.lua,test-release.cdb
c101306047.lua,101306047,Levia-Dragoon - Daedalus,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Levia-Dragoon_-_Daedalus.lua,test-release.cdb
c101306048.lua,101306048,Medicurius the Power Patron of Illusions,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Medicurius_the_Power_Patron_of_Illusions.lua,test-release.cdb
c101306049.lua,101306049,Adamancipator Luminous,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Adamancipator_Luminous.lua,test-release.cdb
c101306050.lua,101306050,Helping Robo for Underwater Combat,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Helping_Robo_for_Underwater_Combat.lua,test-release.cdb
c101306051.lua,101306051,Destratification Dino Stratiae,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Destratification_Dino_Stratiae.lua,test-release.cdb
c101306052.lua,101306052,Dark Time Wizard,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Dark_Time_Wizard.lua,test-release.cdb
c101306053.lua,101306053,Graceful & Skull Dice,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Graceful_&_Skull_Dice.lua,test-release.cdb
c101306054.lua,101306054,Sleepy Scapegoats,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Sleepy_Scapegoats.lua,test-release.cdb
c101306055.lua,101306055,Seventh Barian's,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Seventh_Barian's.lua,test-release.cdb
c101306056.lua,101306056,Barian's Hope,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Barian's_Hope.lua,test-release.cdb
c101306057.lua,101306057,Ashtrashen - Gateway to the Worlds Beyond,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ashtrashen_-_Gateway_to_the_Worlds_Beyond.lua,test-release.cdb
c101306058.lua,101306058,"Atlantis, City of the Sea Dragon",written,"C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Atlantis,_City_of_the_Sea_Dragon.lua",test-release.cdb
c101306059.lua,101306059,Atlantis Call,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Atlantis_Call.lua,test-release.cdb
c101306060.lua,101306060,Advent of Atlantis,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Advent_of_Atlantis.lua,test-release.cdb
c101306061.lua,101306061,"Ars Magna - ""Citrinitas""",written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ars_Magna_-_Citrinitas.lua,test-release.cdb
c101306062.lua,101306062,Dark City at Midnight,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Dark_City_at_Midnight.lua,test-release.cdb
c101306063.lua,101306063,Adamancipator Mates,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Adamancipator_Mates.lua,test-release.cdb
c101306064.lua,101306064,Spell Shattering Sword,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Spell_Shattering_Sword.lua,test-release.cdb
c101306065.lua,101306065,Shimmering Shatterer of the Sacred Beasts,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Shimmering_Shatterer_of_the_Sacred_Beasts.lua,test-release.cdb
c101306066.lua,101306066,Blitzclique - Overvoltage,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Blitzclique_-_Overvoltage.lua,test-release.cdb
c101306067.lua,101306067,"Invocation - ""Chalice""",written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Invocation_-_Chalice.lua,test-release.cdb
c101306068.lua,101306068,Spatial Trunade,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Spatial_Trunade.lua,test-release.cdb
c101306069.lua,101306069,Spell Power Attainment,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Spell_Power_Attainment.lua,test-release.cdb
c101306070.lua,101306070,Foolish Graverobber,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Foolish_Graverobber.lua,test-release.cdb
c101306071.lua,101306071,Reversal Box,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Reversal_Box.lua,test-release.cdb
c101306072.lua,101306072,Barian's Seal,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Barian's_Seal.lua,test-release.cdb
c101306073.lua,101306073,Ashtra Insect Poison,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ashtra_Insect_Poison.lua,test-release.cdb
c101306074.lua,101306074,Ashtra Cursed Roar,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ashtra_Cursed_Roar.lua,test-release.cdb
c101306075.lua,101306075,Ashtra Divine Domain,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ashtra_Divine_Domain.lua,test-release.cdb
c101306076.lua,101306076,Daedalus Maelstrom,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Daedalus_Maelstrom.lua,test-release.cdb
c101306077.lua,101306077,"Ars Magna - ""Philosophirum""",written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ars_Magna_-_Philosophirum.lua,test-release.cdb
c101306078.lua,101306078,Cursed Paper Retribution,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Cursed_Paper_Retribution.lua,test-release.cdb
c101306079.lua,101306079,Corpse-Seller Crow,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Corpse-Seller_Crow.lua,test-release.cdb
